Unnamed: 0,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
7g1JBB5oEkSFAPMBi1Qlc4,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,More Than I Want To,43,Sick Individuals,More Than I Want To,https://i.scdn.co/image/ab67616d0000b27361b50d196cc91abfe7a43b37,"['big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",57,0.442,0.804,0,-4.508,1,0.0756,0.156,0.0,0.279,0.494,119.825,167504,4,edm
6uTCim4OGFZOauCqHWIpu9,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Heaven (feat. Sofia Quinn) - Club Mix,67,Fedde Le Grand,Heaven (feat. Sofia Quinn) [Club Mix],https://i.scdn.co/image/ab67616d0000b273a07378d89f796fc40ff04954,"['dance pop', 'disco house', 'dutch house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house', 'vocal house']",61,0.703,0.963,11,-6.6,0,0.0515,0.00477,0.0169,0.304,0.0301,125.961,175774,4,edm
05Ke9LELmOiA5i3L0ybFUy,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Fade Away,66,Morgan Page,Fade Away,https://i.scdn.co/image/ab67616d0000b2738f9937bb062cb1886664ec9e,"['edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",58,0.694,0.703,7,-4.327,1,0.0593,0.0319,0.0,0.119,0.172,123.034,150251,4,edm
5IpIl6c14WCJhjlIl6poVD,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,On Your Mind,59,Kaskade,On Your Mind,https://i.scdn.co/image/ab67616d0000b27387a4384e128ac4bf8c797ea4,"['edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'tropical house', 'vocal house']",65,0.835,0.828,4,-4.512,0,0.0949,0.00235,0.743,0.0602,0.178,107.995,320280,4,edm
5L8rtOcwS2HDeJsAuM2oNd,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Wild Night,67,Michael Calfan,Wild Night,https://i.scdn.co/image/ab67616d0000b2730cc7ffa6c5880688b231fc2d,"['dance pop', 'deep house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",59,0.674,0.847,5,-4.52,0,0.0683,0.0405,0.269,0.161,0.456,122.891,128781,4,edm
5jyUBKpmaH670zrXrE0wmO,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Reload - Radio Edit,67,Sebastian Ingrosso,Reload (Vocal Version / Radio Edit),https://i.scdn.co/image/ab67616d0000b27370e2e5292928812958927a9a,"['dance pop', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",62,0.485,0.724,9,-4.633,0,0.0521,0.0736,0.0,0.0631,0.433,128.045,221273,4,edm
10EpXLXKHmNSVKvX7A5hg8,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Getaway - Koven Remix,61,Tritonal,Getaway (Remixes),https://i.scdn.co/image/0cd0333511252003372c21bd1ea6b7a5fc1c3ff4,"['edm', 'electro house', 'melodic dubstep', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance', 'trance', 'tropical house', 'uplifting trance']",57,0.488,0.914,6,-2.875,0,0.223,0.00415,0.0,0.158,0.222,172.187,203721,4,edm
5wk4ccb7pQYrFgxfkeuZOQ,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,No Piensa,63,Don Diablo,No Piensa,https://i.scdn.co/image/ab67616d0000b2732d0ac77a610f37e7f3cf66fd,"['dance pop', 'edm', 'electro house', 'future house', 'house', 'pop dance', 'progressive electro house', 'progressive house', 'tropical house']",67,0.738,0.651,10,-7.511,0,0.289,0.073,0.0,0.121,0.289,123.001,149268,4,edm
5ZOHDJ5u6pHTvw1gT2SBRn,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Infinity,53,Borgeous,Infinity,https://i.scdn.co/image/ab67616d0000b2736f16d5ab3e3a9053325698bc,"['edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",55,0.584,0.833,2,-4.774,1,0.0546,0.374,1e-05,0.122,0.403,124.967,190080,4,edm
7nzY195GNrxHbirMsMuspN,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Don't Stop Moving,58,Firebeatz,Don't Stop Moving,https://i.scdn.co/image/ab67616d0000b273e7a6acf5113cfbb62126fe81,"['dutch edm', 'dutch house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",56,0.711,0.839,9,-4.355,0,0.0395,0.0641,0.000219,0.0553,0.791,124.948,144025,4,edm
33ArLNq6JksceoJUONafnX,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Those Eyes (feat. Griff Clawson),47,ARTY,Those Eyes (feat. Griff Clawson),https://i.scdn.co/image/ab67616d0000b27371fccb0ada2eca999be9f65b,"['big room', 'dance pop', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive house', 'russian edm', 'tropical house']",62,0.729,0.82,1,-4.484,1,0.0431,0.0689,0.000186,0.408,0.843,118.093,162787,4,edm
4R4gOp9ybG85RqbrY7JELc,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Feels Like Love (feat. MIYA MIYA),65,Syn Cole,Feels Like Love (feat. MIYA MIYA),https://i.scdn.co/image/ab67616d0000b273c93e6ee0896436a28ddcdce9,"['dance pop', 'deep house', 'deep tropical house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'tropical house']",61,0.728,0.657,0,-5.329,0,0.042,0.0696,3.41e-06,0.0855,0.772,122.079,169672,4,edm
7qZOnik9K8Mv987ccBjwwj,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Wait Another Day,62,Mike Williams,Wait Another Day,https://i.scdn.co/image/ab67616d0000b273ab4a5e424b1c138351af1540,"['big room', 'edm', 'electro house', 'future house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",60,0.727,0.912,8,-3.594,0,0.0377,0.0272,0.000443,0.118,0.671,126.023,179217,4,edm
1bgKMxPQU7JIZEhNsM1vFs,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Words (feat. Zara Larsson),85,Alesso,Words (feat. Zara Larsson),https://i.scdn.co/image/ab67616d0000b2738f9c368d8d0f5792ffc5d38e,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",76,0.739,0.586,10,-5.079,0,0.0472,0.0245,0.000252,0.308,0.444,124.026,142677,4,edm
0MOiv7WTXCqvm89lVCf9C8,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Million Voices - Radio Edit,68,Otto Knows,Million Voices,https://i.scdn.co/image/ab67616d0000b2736368be2d4f665eadc25a444a,"['edm', 'electro house', 'pop dance', 'progressive electro house', 'tropical house']",59,0.582,0.894,8,-6.298,1,0.041,0.0022,0.0223,0.0664,0.0694,125.946,192867,4,edm
2LxdNADWier3MKTei8FbOY,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir),73,Oliver Heldens,I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir),https://i.scdn.co/image/ab67616d0000b273873997a27febe78aa5276669,"['dance pop', 'edm', 'electro house', 'future house', 'house', 'pop dance', 'progressive electro house', 'progressive house', 'tropical house']",69,0.686,0.892,10,-3.186,0,0.0498,0.0577,7.11e-06,0.0838,0.752,126.03,157206,4,edm
3rgTS3933lMWoPiN6CW4qY,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Kids (feat. MKLA),66,KSHMR,Kids (feat. MKLA),https://i.scdn.co/image/ab67616d0000b273aa7da12269b584a1d978fbb9,"['big room', 'edm', 'electro house', 'indian edm', 'pop dance', 'slap house', 'tropical house']",66,0.744,0.866,9,-4.834,1,0.106,0.0107,0.0537,0.528,0.302,128.027,184687,4,edm
7bJUkF96TYazaRp8ZH3Ars,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Alive,22,Krewella,Get Wet,https://i.scdn.co/image/ab67616d0000b273fa8bf837854184a6c126865b,"['dance pop', 'edm', 'electra', 'electro house', 'electropop', 'melodic dubstep', 'pop dance']",58,0.671,0.827,9,-2.907,1,0.0531,0.00304,0.00285,0.35,0.564,127.98,288880,4,edm
4Q56uPgwSvIUsKpozEGVGl,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,On My Mind,57,EDX,On My Mind,https://i.scdn.co/image/ab67616d0000b273bcd789a04ab2777fb0b997c0,"['deep groove house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'swiss pop', 'tech house', 'tropical house']",57,0.884,0.563,4,-6.402,0,0.052,0.067,0.0468,0.102,0.51,126.006,142381,4,edm
651YhrvzeVfOa8yIifIhUM,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,I FEEL LIKE DANCING,62,Hardwell,I FEEL LIKE DANCING,https://i.scdn.co/image/ab67616d0000b2736c001d40f0ea487fd6809bdd,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'tropical house']",65,0.554,0.966,6,-3.745,1,0.106,0.00109,0.838,0.415,0.193,132.035,225682,4,edm
5g1BARk25uUJtEPSUwcjnU,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Hero (feat. Christina Perri),66,Cash Cash,"Blood, Sweat & 3 Years",https://i.scdn.co/image/ab67616d0000b2738058c873c88c1740994a9182,"['dance pop', 'edm', 'electro house', 'electropop', 'electropowerpop', 'pop', 'pop dance', 'pop edm', 'tropical house']",63,0.47,0.85,1,-2.825,0,0.0363,0.0627,0.0,0.118,0.148,149.876,197840,4,edm
4MyPLcBTpqfXZJKcUhMXOg,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Set You Free,63,Lucas & Steve,Set You Free,https://i.scdn.co/image/ab67616d0000b27355159b48862b1048f1312fed,"['dance pop', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'tropical house']",64,0.554,0.93,5,-4.646,0,0.0768,0.0024,0.535,0.4,0.431,126.015,169524,4,edm
2J0X46UkpfLlWbuCXFgDLr,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Waste It On Me (feat. BTS),49,Steve Aoki,Neon Future III,https://i.scdn.co/image/ab67616d0000b2732b83b1f05af0be85caec37e7,"['dance pop', 'edm', 'electro house', 'pop dance', 'pop rap', 'tropical house']",73,0.669,0.684,7,-4.595,1,0.0585,0.252,0.0,0.72,0.466,96.097,192537,4,edm
02itaCXOdC54J0ISjqqFAp,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,All Around The World (La La La),72,R3HAB,All Around The World (La La La),https://i.scdn.co/image/ab67616d0000b2738ddd20bf644f1d50adafad7b,"['dance pop', 'dutch house', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house', 'slap house', 'tropical house']",76,0.733,0.859,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948,147840,4,edm
55eFVWZ4lLq8kbJ0VwSfA4,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Show Me Love (feat. Robin S.),59,Steve Angello,Show Me Love (feat. Robin S.),https://i.scdn.co/image/ab67616d0000b2736212921451f26bf0c1bc4d91,"['disco house', 'edm', 'electro house', 'house', 'pop dance', 'progressive electro house', 'progressive house']",56,0.635,0.882,5,-4.654,1,0.0605,0.484,1.11e-05,0.107,0.549,129.951,187640,4,edm
71WFZwTIUZoYpzjO56g3KH,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Safe,64,Dimitri Vangelis & Wyman,Safe,https://i.scdn.co/image/ab67616d0000b2730028fcb22092e27fe844e59e,"['edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",56,0.36,0.845,0,-4.742,1,0.0344,0.0316,3.41e-05,0.063,0.231,130.066,225231,4,edm
3WkDoMgqtbQ34vToj64QcT,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Feels Like Summer,53,Sander van Doorn,Feels Like Summer,https://i.scdn.co/image/ab67616d0000b273061321f46d16d0c62ac51c6f,"['dutch trance', 'edm', 'electro house', 'house', 'pop dance', 'progressive electro house', 'progressive house', 'trance']",51,0.564,0.89,0,-6.06,0,0.245,0.00395,0.000556,0.134,0.077,135.114,178222,4,edm
1nV6VafLPuRSsXgbDY3i6L,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,One Last Dance,64,Audien,One Last Dance,https://i.scdn.co/image/ab67616d0000b2736a3c2235f0b839b8ab13f53d,"['edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",60,0.713,0.719,4,-6.972,1,0.0455,0.164,0.0335,0.0853,0.24,119.993,184000,4,edm
6h5PAsRni4IRlxWr6uDPTP,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,More Than You Know,80,Axwell /\ Ingrosso,More Than You Know,https://i.scdn.co/image/ab67616d0000b273fba6de0b38b0168d480b1a27,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",65,0.646,0.741,5,-4.973,0,0.034,0.0275,0.0,0.312,0.571,123.077,203000,4,edm
1XFHbzTikXks9CsMq4v8Q3,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Not So Bad (feat. Emie),65,Yves V,Not So Bad (feat. Emie),https://i.scdn.co/image/ab67616d0000b2731e21b6874c0a2917f2cb5fe7,"['belgian edm', 'covertronica', 'dance pop', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'slap house', 'tropical house']",62,0.74,0.674,11,-4.374,1,0.0476,0.00903,0.238,0.154,0.231,126.017,153697,4,edm
665AK0ovB11McZRwfa852G,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Astronomia,60,Vicetone,Astronomia,https://i.scdn.co/image/ab67616d0000b273b45312f9f00736c3b3f72038,"['edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'tropical house']",63,0.653,0.945,5,-2.634,1,0.096,0.00561,0.915,0.439,0.325,126.093,198095,4,edm
1M0hRg4ccFGMqi00ITrxNv,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Switch Back,60,Quintino,Switch Back,https://i.scdn.co/image/ab67616d0000b273aad9ae06bd65d41aff3f11f7,"['dutch edm', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']",60,0.639,0.925,6,-5.408,0,0.036,0.000435,0.942,0.341,0.183,128.003,165000,4,edm
3MOECVkNshqHYTPt5DZcdN,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Five More Hours,70,Deorro,Good Evening,https://i.scdn.co/image/ab67616d0000b2730af7d2a11ca7c19ec985cafc,"['dance pop', 'edm', 'electro house', 'melbourne bounce', 'melbourne bounce international', 'pop dance', 'progressive electro house']",66,0.699,0.883,5,-3.226,0,0.219,0.0288,0.0,0.817,0.499,127.961,211975,4,edm
77gg2iID0drmIb7bvj3pqo,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Fall,54,Bassjackers,Fall,https://i.scdn.co/image/ab67616d0000b273f13b0bebd4fb47e594aa1217,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']",59,0.688,0.845,7,-4.095,1,0.0436,0.0014,0.64,0.117,0.453,130.0,150000,4,edm
3R6dPfF2yBO8mHySW1XDAa,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Solo Dance,60,Martin Jensen,Solo Dance,https://i.scdn.co/image/ab67616d0000b2736b5f7f452f8443896ab8347c,"['dance pop', 'danish electronic', 'deep house', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house', 'uk pop']",67,0.746,0.846,9,-2.432,1,0.048,0.0485,0.0,0.195,0.403,114.955,174933,4,edm
5K6Ssv4Z3zRvxt0P6EKUAP,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Heartbreak Anthem (with David Guetta & Little Mix),79,Galantis,Heartbreak Anthem (with David Guetta & Little Mix),https://i.scdn.co/image/ab67616d0000b2731fcd19d56ad06561b76c1665,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",74,0.595,0.784,1,-4.878,1,0.102,0.216,0.0,0.0608,0.479,124.111,183726,4,edm
6jKe235pyAixh0EZFSJ1V2,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Close - Brooks Remix,50,Brooks,Close (Brooks Remix),https://i.scdn.co/image/ab67616d0000b2734aa1c4daac140164ccb350ee,"['edm', 'electro house', 'future house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house']",58,0.68,0.936,10,-3.936,0,0.0577,0.00333,0.00556,0.235,0.207,128.012,230156,4,edm
44J9wUVTFIGKmjDJb4e5Oq,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Colorblind (feat. Dayseeker),46,Adventure Club,Love // Chaos,https://i.scdn.co/image/ab67616d0000b273c2dc1cee265d9d10f2758b1d,"['brostep', 'canadian electronic', 'edm', 'electro house', 'electronic trap', 'electropop', 'filthstep', 'future bass', 'melodic dubstep', 'pop dance', 'pop edm']",51,0.492,0.567,5,-5.125,1,0.0321,0.171,0.0,0.266,0.265,140.042,199286,4,edm
5fbSIKNisMBlP1tXxjziJb,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,She Wants Me Dead,54,CAZZETTE,She Wants Me Dead,https://i.scdn.co/image/ab67616d0000b2734266bab2dc7c54a098e3c9b4,"['complextro', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",50,0.703,0.837,9,-4.933,0,0.234,0.0186,0.000161,0.0576,0.68,106.051,203510,4,edm
6psiB5wOYy0bwx8A7G9EYk,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Out Of My Mind,50,Jay Hardway,Out Of My Mind,https://i.scdn.co/image/ab67616d0000b273456878c6a94276d4b91d0e82,"['dutch edm', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house']",49,0.735,0.947,5,-4.564,0,0.0723,0.0866,0.0055,0.102,0.316,123.03,158537,4,edm
0sMA4yM4virFpGKst2Pt1N,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,No Scrubs,60,MOTi,No Scrubs,https://i.scdn.co/image/ab67616d0000b27345d721154d75487887425f68,"['dance pop', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'tropical house']",65,0.864,0.757,8,-6.545,0,0.0529,0.194,0.000939,0.133,0.554,122.011,168197,4,edm
3TjE3A8tLih7KBwKJ03Htl,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,New Vibe Who Dis (feat. Little League),52,Madison Mars,New Vibe Who Dis (feat. Little League),https://i.scdn.co/image/ab67616d0000b273ebd63c63c3435d89535888a1,"['edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",49,0.699,0.933,10,-3.504,0,0.175,0.16,5.62e-06,0.196,0.646,123.91,191500,4,edm
1tOTq5hXlLeKbqOVn8ddMF,https://open.spotify.com/playlist/3pDxuMpz94eDs7WFqudTbZ?si=c78819ec60064730,The Sound of EDM,Free,50,Third Party,TOGETHER,https://i.scdn.co/image/ab67616d0000b2732225ad2001e70fb7ea0065ae,"['edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",47,0.481,0.922,3,-4.17,1,0.0639,0.0238,0.0018,0.0971,0.237,127.928,228972,4,edm
