track_name,track_popularity,artist_name,album,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre,artist_encoded,album_encoded
My Babe,59,Little Walter,The Essential Little Walter,"['acoustic blues', 'blues', 'blues rock', 'chicago blues', 'electric blues', 'harmonica blues', 'louisiana blues', 'rock-and-roll', 'traditional blues']",46,0.676,0.334,0.45454545454545453,0.7046164526206179,1,0.0508,0.862,0.0,0.32,0.867,0.9136961902338601,0.11324816191887283,4,1,3114,8720
Alabama Blues,42,J.B. Lenoir,Alabama Blues!,"['acoustic blues', 'blues', 'chicago blues', 'traditional blues']",36,0.675,0.308,0.5454545454545454,0.7663757623840929,1,0.0348,0.824,3.75e-05,0.0607,0.69,0.5635192338830932,0.13584537754046574,4,1,2289,392
Mannish Boy,62,Muddy Waters,King Of The Electric Blues,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']",55,0.598,0.735,0.18181818181818182,0.6969306292457976,1,0.0973,0.44,0.000215,0.681,0.615,0.6426464805348016,0.22443669452908782,3,1,3654,4666
Lonesome,29,Memphis Slim,Presenting Memphis Slim,"['blues', 'electric blues', 'piano blues', 'traditional blues']",30,0.638,0.614,0.45454545454545453,0.8010363465066693,1,0.0572,0.868,0.00305,0.0583,0.857,0.9197624389905393,0.10305345111962204,4,1,3472,6742
Give Me Back My Wig,40,Hound Dog Taylor,Hound Dog Taylor & The Houserockers,"['acoustic blues', 'blues', 'blues rock', 'chicago blues', 'electric blues', 'traditional blues']",37,0.642,0.708,0.8181818181818182,0.6344523231020974,1,0.0543,0.0346,0.0103,0.0844,0.775,0.6253787791168376,0.1508204970506835,4,1,2190,3964
Boom Boom,63,John Lee Hooker,Burnin',"['blues', 'blues rock', 'classic rock', 'delta blues', 'electric blues', 'memphis blues', 'soul', 'traditional blues']",57,0.441,0.455,0.9090909090909091,0.6144939753061932,1,0.0485,0.62,0.00187,0.135,0.918,0.9304665633457474,0.10647661513516536,4,1,2574,1487
Death Letter Blues,40,Son House,Father Of The Delta Blues: The Complete 1965 Sessions,"['acoustic blues', 'blues', 'country blues', 'delta blues', 'traditional blues']",35,0.803,0.288,0.6363636363636364,0.5844696781871375,0,0.0629,0.865,0.0593,0.0833,0.865,0.6689933149823044,0.18112437449330462,4,1,4633,2988
2:19,44,John Hammond,Wicked Grin,"['blues', 'blues rock', 'british blues', 'country blues', 'country rock', 'electric blues', 'modern blues', 'roots rock', 'traditional blues']",38,0.8,0.563,0.6363636363636364,0.727202856151138,1,0.0902,0.202,0.112,0.247,0.778,0.7304827554301312,0.19715202258813005,4,1,2570,10121
Hound Dog,57,Big Mama Thornton,Ball n' Chain,"['acoustic blues', 'blues', 'electric blues', 'harmonica blues', 'rhythm and blues', 'texas blues', 'traditional blues']",44,0.563,0.542,0.8181818181818182,0.6974264888183666,1,0.0962,0.706,3.59e-05,0.355,0.785,0.7707721311096205,0.12649911939839534,4,1,544,865
Glory of Love,40,Big Bill Broonzy,Big Bill Broonzy Sings Folk Songs,"['acoustic blues', 'blues', 'chicago blues', 'country blues', 'electric blues', 'traditional blues']",32,0.604,0.108,0.0,0.4943967868299698,1,0.0421,0.88,0.0158,0.125,0.852,0.9524531007841597,0.14224721142825195,4,1,532,1081
Smokestack Lightnin',61,Howlin' Wolf,Moanin' In The Moonlight,"['acoustic blues', 'blues', 'blues rock', 'chicago blues', 'classic rock', 'delta blues', 'harmonica blues', 'memphis blues', 'traditional blues']",52,0.661,0.342,0.8181818181818182,0.5610898993405068,0,0.043,0.844,0.000128,0.26,0.588,0.8449839235733618,0.1316709066003187,4,1,2196,5645
Two Bugs and a Roach,48,Earl Hooker,Two Bugs and a Roach,"['acoustic blues', 'blues', 'chicago blues', 'electric blues', 'traditional blues']",38,0.523,0.568,0.8181818181818182,0.6547329796201716,1,0.0751,0.652,0.00534,0.1,0.813,0.7832805162961765,0.18154370859075789,4,1,1525,9579
Reconsider Baby,47,Lowell Fulson,Hung Down Head,"['acoustic blues', 'blues', 'boogie-woogie', 'electric blues', 'jump blues', 'rock-and-roll', 'soul blues', 'texas blues', 'traditional blues']",37,0.693,0.518,0.0,0.6944017454256954,1,0.0534,0.764,0.000782,0.057,0.688,0.5508662765145382,0.13241662240362304,4,1,3191,4011
Going Down,59,Freddie King,Getting Ready... ,"['acoustic blues', 'blues', 'blues rock', 'electric blues', 'texas blues', 'traditional blues']",51,0.565,0.526,0.0,0.685277929290425,1,0.0365,0.0339,0.000119,0.11,0.637,0.971154958247554,0.1428063235581896,4,1,1853,3407
Play With Your Poodle,34,James Cotton,Deep In The Blues,"['acoustic blues', 'blues', 'chicago blues', 'electric blues', 'harmonica blues', 'traditional blues']",33,0.515,0.43,0.6363636363636364,0.6961868398869441,1,0.153,0.81,0.0069,0.126,0.624,0.9593116050981936,0.15305694557043414,4,1,2354,2233
Junker's Blues,52,Champion Jack Dupree,Blues From The Gutter,"['acoustic blues', 'barrelhouse piano', 'blues', 'electric blues', 'louisiana blues', 'memphis blues', 'new orleans blues', 'piano blues', 'rhythm and blues', 'traditional blues']",38,0.779,0.155,0.45454545454545453,0.43194327366489804,1,0.112,0.856,7.82e-06,0.0974,0.696,0.5970888945432676,0.13468102652987057,4,1,906,1257
I'm A Lover Not A Fighter,39,Lazy Lester,I Hear You Knockin'!,"['acoustic blues', 'blues', 'boogie-woogie', 'electric blues', 'harmonica blues', 'louisiana blues', 'swamp blues', 'traditional blues']",29,0.659,0.662,1.0,0.7426240888580353,0,0.0575,0.371,0.0,0.292,0.88,0.6600761027966043,0.11584803332308294,4,1,3009,4080
Born Under A Bad Sign - Mono Mix,58,Albert King,Born Under A Bad Sign ,"['acoustic blues', 'blues', 'blues rock', 'electric blues', 'memphis soul', 'soul blues', 'traditional blues']",49,0.711,0.483,1.0,0.6887737392770368,1,0.0298,0.434,0.012,0.0284,0.884,0.5300131849829984,0.1188099298314277,4,1,124,1334
Born in Chicago,42,The Paul Butterfield Blues Band,The Paul Butterfield Blues Band,"['acoustic blues', 'blues', 'blues rock', 'chicago blues', 'country rock', 'electric blues', 'harmonica blues', 'psychedelic rock', 'traditional blues']",39,0.419,0.597,0.18181818181818182,0.6545594287697724,1,0.048,0.786,0.000769,0.321,0.941,0.44052300432559977,0.1319972883061698,4,1,5059,8985
I Wish You Would,35,Billy Boy Arnold,Back Where I Belong,"['acoustic blues', 'blues', 'boogie-woogie', 'electric blues', 'harmonica blues', 'modern blues', 'traditional blues']",28,0.654,0.568,0.6363636363636364,0.6697327316903853,1,0.0272,0.226,0.00356,0.114,0.762,0.5500451065207838,0.1534483240613905,4,1,562,821
Goin' Down Swingin',39,Homesick James,Blues On The South Side,"['acoustic blues', 'blues', 'boogie-woogie', 'chicago blues', 'electric blues', 'traditional blues']",28,0.508,0.195,0.18181818181818182,0.5603213170030248,1,0.0357,0.897,0.057,0.0555,0.459,0.41688256112511857,0.15813578038075535,4,1,2175,1268
Have A Good Time,34,Big Walter Horton,Big Walter Horton w/ Carey Bell,"['acoustic blues', 'blues', 'boogie-woogie', 'chicago blues', 'electric blues', 'harmonica blues', 'memphis blues', 'traditional blues']",28,0.642,0.599,1.0,0.6014280755689988,0,0.153,0.0146,0.00238,0.164,0.889,0.9015521269459417,0.15971946548880378,4,1,552,1097
I Got a Woman,39,Snooks Eaglin,New Orleans Street Singer,"['acoustic blues', 'blues', 'electric blues', 'louisiana blues', 'new orleans blues', 'traditional blues']",35,0.815,0.106,0.45454545454545453,0.49052908216393115,1,0.0408,0.753,3.64e-05,0.119,0.536,0.520101316185145,0.13511853177154678,4,1,4617,5968
Coffee Blues,45,Mississippi John Hurt,Rediscovered,"['acoustic blues', 'american folk revival', 'appalachian folk', 'blues', 'country blues', 'delta blues', 'folk', 'piedmont blues', 'traditional blues', 'traditional folk']",41,0.628,0.135,0.8181818181818182,0.45363712996479394,1,0.0435,0.946,1.02e-05,0.0915,0.773,0.5994772269898916,0.15810782477425847,4,1,3577,7011
Lone Wolf,38,J. B. Hutto,Slidin' the Blues ,"['acoustic blues', 'blues', 'chicago blues', 'electric blues', 'traditional blues']",28,0.524,0.3,0.18181818181818182,0.7102444587692766,1,0.0604,0.487,0.31,0.0484,0.315,0.8826189539913489,0.257022448352017,3,1,2286,7706
Fixin' to Die Blues,31,Bukka White,Parchman Farm,"['acoustic blues', 'blues', 'country blues', 'delta blues', 'traditional blues', 'traditional folk']",27,0.565,0.266,1.0,0.6764516288986959,1,0.0375,0.897,0.571,0.103,0.577,0.6359788115010063,0.11792583377596377,4,1,762,6464
Bad News Is Coming,51,Luther Allison,Bad News Is Coming,"['acoustic blues', 'blues', 'blues rock', 'chicago blues', 'electric blues', 'modern blues', 'traditional blues']",41,0.639,0.496,0.09090909090909091,0.7970446769474885,0,0.0375,0.713,0.254,0.0545,0.467,0.8118826767828643,0.31137863073439376,3,1,3232,849
Travelling Back Home,36,Johnny Shines,Too Wet to Plow,"['acoustic blues', 'blues', 'chicago blues', 'delta blues', 'electric blues', 'memphis blues', 'traditional blues']",28,0.499,0.132,0.36363636363636365,0.5383547379382159,0,0.0403,0.852,0.00108,0.0621,0.362,0.515631144317735,0.16664337032791926,4,1,2615,9418
Somebody Loan Me A Dime,50,Fenton Robinson,Somebody Loan Me A Dime,"['acoustic blues', 'blues', 'electric blues', 'louisiana blues', 'swamp blues', 'traditional blues']",37,0.69,0.584,0.2727272727272727,0.7469628601180146,1,0.0746,0.47,2.46e-05,0.297,0.809,0.6824790081191738,0.1255856699561097,3,1,1750,7794
Truckin' My Blues Away,33,Blind Boy Fuller,Presenting Blind Boy Fuller,"['acoustic blues', 'blues', 'boogie-woogie', 'country blues', 'jug band', 'piedmont blues', 'traditional blues']",28,0.619,0.302,0.6363636363636364,0.6628402836316756,0,0.0605,0.995,0.00225,0.161,0.679,1.0486225162499134,0.13170794777892705,4,1,623,6724
Empty Arms,28,Eddie Boyd,The Blue Horizon Story 1965 ,"['acoustic blues', 'blues', 'chicago blues', 'electric blues', 'piano blues', 'traditional blues']",27,0.705,0.447,0.6363636363636364,0.6858977537561363,1,0.0501,0.934,0.172,0.102,0.547,0.8121833869214222,0.1188861088591317,4,1,1542,8579
Worried About My Baby,31,Sunnyland Slim,Highway 61,"['acoustic blues', 'blues', 'boogie-woogie', 'chicago blues', 'delta blues', 'electric blues', 'piano blues', 'traditional blues']",30,0.615,0.303,0.8181818181818182,0.6875092973669856,1,0.06,0.925,0.0125,0.183,0.78,0.4661122805394278,0.11261426854155601,4,1,4761,3861
Work With Me Annie,35,Snooky Pryor,Shake My Hand,"['acoustic blues', 'blues', 'chicago blues', 'electric blues', 'harmonica blues', 'traditional blues']",27,0.66,0.696,0.8181818181818182,0.7907968463331184,1,0.0367,0.448,0.00194,0.0621,0.598,0.6362101269922048,0.18059321796986386,4,1,4618,7534
Cross Road Blues,51,Robert Johnson,King Of The Delta Blues Singers,"['acoustic blues', 'blues', 'delta blues', 'pre-war blues', 'traditional blues']",44,0.675,0.311,0.8181818181818182,0.6702285912629543,1,0.0525,0.93,0.000261,0.102,0.638,0.5618595452337444,0.10452601269184535,4,1,4279,4664
Baby Please Don't Go,42,Big Joe Williams,Going Back to Crawford,"['acoustic blues', 'blues', 'country blues', 'delta blues', 'traditional blues']",29,0.499,0.302,0.6363636363636364,0.5911141964595626,1,0.0495,0.752,0.0266,0.129,0.564,0.9661758922995074,0.11497232394956809,4,1,540,3474
You Gotta Move,44,Mississippi Fred McDowell,You Gotta Move,"['acoustic blues', 'blues', 'country blues', 'delta blues', 'traditional blues', 'traditional southern folk']",34,0.623,0.151,0.8181818181818182,0.5632220955025538,1,0.0626,0.697,0.000354,0.102,0.309,0.4339073812773242,0.14024419222275028,4,1,3575,10293
Devil Got My Woman,28,Skip James,I'd Rather Be The Devil: The Legendary 1931 Session,"['acoustic blues', 'blues', 'country blues', 'delta blues', 'traditional blues']",33,0.493,0.244,0.18181818181818182,0.7029553230525115,1,0.0297,0.994,0.0813,0.119,0.547,0.4929969235039672,0.12499860221967515,4,1,4581,4129
Feels Like Rain (feat. Bonnie Raitt),56,Buddy Guy,Feels Like Rain,"['acoustic blues', 'blues', 'blues rock', 'chicago blues', 'classic rock', 'country blues', 'electric blues', 'modern blues', 'soul blues', 'traditional blues']",53,0.572,0.348,0.0,0.6331630882134179,1,0.0294,0.44,0.000721,0.235,0.34,0.42390876917027137,0.192381398339437,4,1,755,3025
Hoodoo Blues,32,Lightnin' Slim,Lightning Slim presents Rooster Blues,"['acoustic blues', 'blues', 'electric blues', 'harmonica blues', 'louisiana blues', 'swamp blues', 'traditional blues']",28,0.536,0.237,1.0,0.5529082163931175,0,0.133,0.98,0.332,0.0942,0.582,1.1578034280955796,0.17137695339800396,3,1,3070,5011
Christo Redemptor,43,Charlie Musselwhite,Stand Back!,"['acoustic blues', 'blues', 'chicago blues', 'electric blues', 'harmonica blues', 'modern blues', 'traditional blues']",41,0.485,0.2,0.6363636363636364,0.5807011454356126,0,0.0276,0.703,0.919,0.149,0.19,0.4789792047373413,0.1404769226468368,3,1,926,7947
That's All Right,38,"Arthur ""Big Boy"" Crudup",That's All Right Mama,"['acoustic blues', 'blues', 'chicago blues', 'delta blues', 'rock-and-roll', 'traditional blues']",32,0.59,0.424,0.45454545454545453,0.6229979669757525,0,0.0537,0.934,0.0162,0.149,0.819,0.616663967985936,0.12368468871432166,4,1,347,8424
Happy With My French Friends,46,Hubert Sumlin,My Guitar and Me ,"['acoustic blues', 'blues', 'chicago blues', 'electric blues', 'modern blues', 'traditional blues']",38,0.648,0.488,0.0,0.6530222640948083,1,0.0349,0.0516,0.795,0.133,0.817,0.6447803659411072,0.16835774789634061,4,1,2199,5835
The Sky Is Crying,36,Jimmy Johnson,Livin' The Life ,"['acoustic blues', 'blues', 'chicago blues', 'electric blues', 'traditional blues']",32,0.401,0.529,0.18181818181818182,0.7170129419348441,0,0.033,0.796,0.0129,0.168,0.729,1.0550068238069905,0.23817268178133125,3,1,2485,5075
Messin' With The Kid,44,Junior Wells' Chicago Blues Band,Vanguard Visionaries,"['acoustic blues', 'blues', 'electric blues', 'traditional blues']",29,0.67,0.739,0.45454545454545453,0.7339465463380771,1,0.122,0.723,0.000103,0.55,0.752,0.8041856538132359,0.09953104470101479,4,1,2717,9715
Anna Lou Blues,32,Tampa Red,Presenting Tampa Red,"['acoustic blues', 'blues', 'boogie-woogie', 'chicago blues', 'country blues', 'traditional blues']",27,0.568,0.495,0.9090909090909091,0.7761689889423316,1,0.0357,0.965,0.0172,0.159,0.8,0.6115171983067706,0.12169075508093148,4,1,4816,6749
Mini Skirt,39,Louisiana Red,World on Fire,"['acoustic blues', 'blues', 'electric blues', 'louisiana blues', 'traditional blues']",29,0.332,0.769,0.18181818181818182,0.7315664203897456,1,0.068,0.000983,0.000136,0.193,0.817,0.9150262543082511,0.08677420256632468,4,1,3181,10214
"Cold, Cold Feeling",53,Albert Collins,Ice Pickin',"['acoustic blues', 'blues', 'blues rock', 'electric blues', 'modern blues', 'texas blues', 'traditional blues']",45,0.713,0.281,0.2727272727272727,0.6925918579858183,0,0.0379,0.137,0.0258,0.111,0.397,0.857607966505517,0.222834139386654,3,1,121,4166
Down the Dirt Road Blues,26,Charley Patton,Presenting Charley Patton,"['acoustic blues', 'blues', 'country blues', 'delta blues', 'pre-war blues', 'traditional blues', 'traditional folk']",27,0.473,0.302,0.09090909090909091,0.7185748995884366,1,0.0344,0.971,0.036,0.106,0.524,0.68901367074553,0.12200735232450868,4,1,919,6731
I Got the Cross the River Jordan,39,Blind Willie McTell,Atlanta Twelve String,"['acoustic blues', 'appalachian folk', 'blues', 'country blues', 'delta blues', 'jug band', 'piedmont blues', 'traditional blues', 'traditional folk']",31,0.538,0.177,0.0,0.6157088312589875,1,0.0447,0.91,0.00825,0.0927,0.415,0.4475723439198724,0.16798523943976965,4,1,628,703
If You See My Rooster (Please Run Him Home),36,Memphis Minnie,Hoodoo Lady ,"['acoustic blues', 'blues', 'boogie-woogie', 'country blues', 'memphis blues', 'traditional blues']",28,0.792,0.142,0.2727272727272727,0.5694451331382953,1,0.0442,0.985,0.184,0.112,0.669,0.5457599870463326,0.13649814095216795,4,1,3470,3934
Evenin',43,Jimmy Witherspoon,Evenin' Blues,"['acoustic blues', 'blues', 'electric blues', 'jazz blues', 'jump blues', 'rhythm and blues', 'traditional blues']",34,0.425,0.0716,0.7272727272727273,0.5032974661575842,0,0.0457,0.917,9.83e-05,0.174,0.348,0.666234877749763,0.11216697883760589,4,1,2494,2846
Jumper Hanging Out On the Line,45,R.L. Burnside,Mississippi Blues,"['acoustic blues', 'blues', 'country blues', 'delta blues', 'electric blues', 'modern blues', 'punk blues', 'traditional blues']",44,0.845,0.163,0.18181818181818182,0.6249566122874002,1,0.0506,0.845,0.00242,0.122,0.46,0.5676539982882655,0.10628442034049929,4,1,4129,5633
I'm A Man,56,Bo Diddley,Bo Diddley,"['acoustic blues', 'blues', 'chicago blues', 'electric blues', 'funk', 'rock-and-roll', 'rockabilly', 'soul', 'traditional blues']",47,0.513,0.546,0.0,0.5781722616155105,1,0.0391,0.333,0.0,0.17,0.834,0.4945930003932364,0.11500027955606497,4,1,652,1285
"Dark Was the Night, Cold Was the Ground",45,Blind Willie Johnson,Dark Was The Night ,"['acoustic blues', 'blues', 'country blues', 'gospel blues', 'texas blues', 'traditional blues', 'traditional folk']",33,0.394,0.0406,0.8181818181818182,0.39205137105171817,1,0.044,0.968,0.0453,0.0976,0.2,0.6714915222872477,0.13877163065052697,1,1,627,2149
Some Day Baby,22,Lonnie Johnson,Presenting Lonnie Johnson,"['acoustic blues', 'blues', 'country blues', 'jazz blues', 'louisiana blues', 'memphis blues', 'new orleans blues', 'traditional blues']",29,0.498,0.258,0.2727272727272727,0.6537908464322904,1,0.0456,0.964,0.00486,0.124,0.687,0.47694941130207497,0.13158703978082806,4,1,3141,6737
Walk On,32,Sonny Terry and Brownie McGhee,An Introduction To Sonny Terry & Brownie McGhee,"['acoustic blues', 'blues', 'traditional blues']",27,0.671,0.176,0.0,0.5207021371547578,0,0.0498,0.751,0.00595,0.125,0.746,0.647781684439407,0.13405621872466522,4,1,4651,567
Black Angel Blues,36,Robert Nighthawk,Presenting Robert Nighthawk,"['acoustic blues', 'blues', 'country blues', 'traditional blues']",24,0.673,0.341,0.36363636363636365,0.7565825358258541,1,0.0447,0.993,0.0936,0.128,0.383,0.41507830029377074,0.12892217159151267,4,1,4281,6745
Bring It On Home To Me,38,Sonny Terry,Sonny & Brownie,"['acoustic blues', 'blues', 'country blues', 'harmonica blues', 'piedmont blues', 'traditional blues']",32,0.772,0.236,0.36363636363636365,0.582362275003719,1,0.0302,0.494,0.00371,0.117,0.821,0.6140963660336333,0.14948771351094461,3,1,4650,7842
Got The Bottle Up And Gone,39,Sonny Boy Williamson I,Sonny Boy Williamson Vol. 1 ,"['acoustic blues', 'blues', 'chicago blues', 'country blues', 'harmonica blues', 'traditional blues']",27,0.612,0.117,0.8181818181818182,0.585982049883473,1,0.153,0.99,0.00031,0.0788,0.781,0.9972242141056187,0.10711190629280702,4,1,4641,7843
Further Up on the Road,36,"David ""Honeyboy"" Edwards",Honeyboy Edwards: Missisippi Delta Bluesman,"['acoustic blues', 'blues', 'delta blues', 'traditional blues']",24,0.73,0.195,0.8181818181818182,0.5930232558139534,1,0.0553,0.858,0.0107,0.112,0.699,0.6469547315583725,0.18173939783623605,4,1,1273,3927
Blues Ain't Nothin',42,Johnny Copeland,Jungle Swing,"['acoustic blues', 'blues', 'electric blues', 'texas blues']",32,0.627,0.486,0.9090909090909091,0.7324837605989983,0,0.0396,0.276,0.000518,0.277,0.692,0.9923492401286116,0.1693641497302284,4,1,2604,4549
Meet Me in the City,47,Junior Kimbrough,First Recordings,"['acoustic blues', 'blues', 'country blues', 'delta blues', 'modern blues rock', 'punk blues', 'traditional blues']",39,0.566,0.64,0.18181818181818182,0.7713591510884118,1,0.0249,0.903,0.474,0.134,0.332,0.772188938493211,0.10578401498420509,4,1,2711,3084
Big Town Playboy,27,Eddie Taylor,Big Town Playboy,"['acoustic blues', 'blues', 'electric blues', 'traditional blues']",24,0.57,0.703,0.36363636363636365,0.7788714236128329,1,0.0703,0.975,0.00032,0.215,0.804,0.5759640073095695,0.12575200581476614,4,1,1550,1095
I'm A Bluesman,41,Juke Boy Bonner,The Sonet Blues Story,"['acoustic blues', 'blues', 'electric blues', 'texas blues', 'traditional blues']",29,0.566,0.396,0.0,0.7519214558437051,1,0.0645,0.705,2.4e-05,0.142,0.693,0.5942552797760866,0.1308322384054122,4,1,2690,9089
Match Box Blues,28,Blind Lemon Jefferson,Presenting Blind Lemon Jefferson,"['acoustic blues', 'appalachian folk', 'blues', 'country blues', 'delta blues', 'gospel blues', 'pre-war blues', 'texas blues', 'traditional blues', 'traditional folk']",28,0.484,0.282,0.9090909090909091,0.6619229434224227,1,0.0507,0.977,0.0167,0.0777,0.523,0.4596585783349912,0.12792485532973638,4,1,625,6725
Teardrops,34,Carey Bell,Good Luck Man,"['acoustic blues', 'blues', 'chicago blues', 'electric blues', 'harmonica blues']",29,0.507,0.241,0.8181818181818182,0.6396836415927009,0,0.0287,0.342,0.0237,0.0671,0.361,0.774554139390715,0.29931159319001427,3,1,835,3506
Sugar Babe,32,Mance Lipscomb,Presenting Mance Lipscomb,"['acoustic blues', 'blues', 'country blues', 'texas blues', 'traditional blues', 'traditional folk']",27,0.544,0.251,0.2727272727272727,0.5324044230673873,1,0.0764,0.982,0.34,0.109,0.517,0.5874893016585321,0.08854449134773978,4,1,3326,6740
Dengue Woman Blues,43,Jimmie Vaughan,The Essential Jimmie Vaughan,"['acoustic blues', 'blues', 'blues rock', 'electric blues', 'modern blues', 'soul blues', 'texas blues']",39,0.393,0.358,0.45454545454545453,0.7287648138047306,0,0.0471,0.33,0.0313,0.12,0.598,1.0413534269390021,0.268206088731095,3,1,2478,8716
When My Baby Left Me,35,Furry Lewis,Shake 'Em On Down,"['acoustic blues', 'appalachian folk', 'blues', 'country blues', 'memphis blues', 'traditional blues', 'traditional folk']",27,0.392,0.103,0.0,0.44570337680368916,1,0.0307,0.899,0.0185,0.16,0.0679,0.5847655617496704,0.1421074333957675,4,1,1881,7531
All For Business,36,Byther Smith,Throw Away The Book,"['acoustic blues', 'blues', 'electric blues', 'modern blues']",28,0.716,0.647,0.0,0.7654584221748401,1,0.0302,0.632,0.296,0.377,0.891,0.6304735028104833,0.13925596153308545,4,1,776,9315
